,S. No.,Name,Designation,Affiliation,Specialisation,LinkedIn Profile,Column 1
,60,Olutola Vivian Awosiku,Lead Program Manager,The Africa Digital Health Networks - ADHN,Digital health advocacy,LinkedIn Profile,https://www.linkedin.com/in/olutolavivian/
,61,Patty Mechael,Chief Executive Officer,health.enabled,Digital health innovation,Linkedin Profile,https://www.linkedin.com/in/patricia-mechael-a696001/
,62,Peiling Yap,Chief Scientist,HealthAI,AI,LinkedIn Profile,https://www.linkedin.com/in/peiling-yap-27b32230/
,63,Primrose Matambanadzo,Programme Director- Key Populations,The Centre for Sexual Health and HIV/AIDS Research Zimbabwe (CeSHHAR Zimbabwe),Digital health strategy / non-profit management ,LinkedIn Profile,https://www.linkedin.com/in/primrose-matambanadzo-14022a46/
,64,Priya Balasubramaniam,Senior Public Health Scientist & Director,Public Health Foundation of India,Health systems strengthening,LinkedIn Profile,https://www.linkedin.com/in/priya-balasubramaniam-24080a2/
,65,Priya Morjaria,Head of Global Programme Development,Peek Vision,Digital health innovation,LinkedIn Profile,https://www.linkedin.com/in/priyamorjaria/
,66,Roopan Gill,"CEO, Co-Founder",Vitala Global Foundation ,Digital health innovation,LinkedIn Profile,https://www.linkedin.com/in/roopan-gill-md-mph-frcsc-97594511/
,67,Rose Nzyoka,Board Director,Global Digital Health Network ,Digital health strategy / non-profit management ,LinkedIn Profile,https://www.linkedin.com/in/rose-nzyoka-6a4a0815/
,68,Rosemary K Muliokela,Consultant: Global Digital Adapation kits (DAKs) Implementation and Digital Interventions,World Health Organization,Digital health innovation,LinkedIn Profile,https://www.linkedin.com/in/rosemarymuliokela/
,69,Samira Abdulrashid (Dr),Head of Medical,MYDAWA,Digital health innovation,LinkedIn Profile,https://www.linkedin.com/in/samiraabdulrashid/
,70,Sara (Meg) Davis ,Research and Impact Director,Centre for Interdisciplinary Methodologies - University of Warwick,Digital health rights,LinkedIn Profile,https://www.linkedin.com/in/megdavis/
,71,Sherri Haas,"ET Consultant, Digital Public Infrastracture & Government Services Team",The World Bank,Health systems strengthening,LinkedIn Profile,https://www.linkedin.com/in/sherrihaas/
,72,Smisha Agarwal,"Director, Center for Global Digital Health Innovation",Johns Hopkins Bloomberg School of Public Health,Digital health innovation,LinkedIn Profile,https://www.linkedin.com/in/smisha-agarwal-325a6916/
,73,Sophia Pirsch,Investigator ,Center for Implementation and Innovation in Health Policies,Research,Linkedln Profile,https://www.linkedin.com/in/sophia-pirsch-93504a11b/
,74,Stephanie Watson-Grant,Learning Strategist,The END Fund,Health information systems,LinkedIn Profile,https://www.linkedin.com/in/stephanie-watson-grant-drph-9336b211/
,75,Sukanya Poddar,Managing Trustee,Committed Communities Development Trust,Health systems strengthening,LinkedIn Profile,https://www.linkedin.com/in/sukanyapoddar/
,76,Tara Nutley,"Executive Advisor, Digital Health","health.enabled, Palladium, Abt Global",Digital health strategy / non-profit management ,LinkedIn Profile,https://www.linkedin.com/in/taranutley/
,77,Thobekile Finger,Director of Programs ,Higher Health SA ,Health systems strengthening,LinkedIn Profile,https://www.linkedin.com/in/thobekile-finger-b9a38520/
,78,Vidya Mahadevan,Senior Data Governance Advisor,USAID,Digital health policy,LinkedIn Profile,https://www.linkedin.com/in/vidyamahadevan/
,79,Viviane (Dr V) Oke,Founder,ELLES App,Digital health innovation,LinkedIn Profile,https://www.linkedin.com/in/viviane-oke-4395061b/
,80,Yacine Diop Djibo,Founder & Executive Director,Speak Up Africa,Digital health advocacy,LinkedIn Profile,https://www.linkedin.com/in/yacine-djibo-5561a310/
,81,Yashmita Naidoo,Chief Executive Officer,HIVSA,Health systems strengthening,LinkedIn Profile,https://www.linkedin.com/in/yashmita-naidoo-4632b014/
,,,,,,,
,,,,,,,
,,Keep an eye out incase professional status changes ,,,,,
,,Laurie Werner,,,,,
